time,level,rain,acc_rain
2018121608,0.97,0,1598
2018121609,0.97,0,1598
2018121610,0.97,0,1598
2018121611,0.96,0,1598
2018121612,0.96,0,1598
2018121613,0.96,0,1598
2018121614,0.96,0,1598
2018121615,0.96,0,1598
2018121616,0.96,0,1598
2018121617,0.96,0,1598
2018121618,0.96,0,1598
2018121619,0.96,0,1598
2018121620,0.96,0,1598
2018121621,0.96,0,1598
2018121622,0.96,0,1598
2018121623,0.96,0,1598
2018121624,0.96,0,1598
2018121701,0.96,0,1598
2018121702,0.96,0,1598
2018121703,0.96,0,1598
2018121704,0.96,0,1598
2018121705,0.96,0,1598
2018121706,0.96,0,1598
2018121707,0.96,0,1598
2018121708,0.96,0,1598
2018121709,0.96,0,1598
2018121710,0.96,0,1598
2018121711,0.96,0,1598
2018121712,0.96,0,1598
2018121713,0.96,0,1598
2018121714,0.96,0,1598
2018121715,0.96,0,1598
2018121716,0.96,0,1598
2018121717,0.96,0,1598
2018121718,0.96,0,1598
2018121719,0.96,0,1598
2018121720,0.96,0,1598
2018121721,0.96,0,1598
2018121722,0.96,0,1598
2018121723,0.96,0,1598
2018121724,0.96,0,1598
2018121801,0.96,0,1598
2018121802,0.96,0,1598
2018121803,0.96,0,1598
2018121804,0.96,0,1598
2018121805,0.96,0,1598
2018121806,0.96,0,1598
2018121807,0.96,0,1598
2018121808,0.96,0,1598
2018121809,0.96,0,1598
2018121810,0.96,0,1598
2018121811,0.96,0,1598
2018121812,0.96,0,1598
2018121813,0.96,0,1598
2018121814,0.96,0,1598
2018121815,0.96,0,1598
2018121816,0.96,0,1598
2018121817,0.96,0,1598
2018121818,0.96,0,1598
2018121819,0.95,0,1598
2018121820,0.95,0,1598
2018121821,0.95,0,1598
2018121822,0.95,0,1598
2018121823,0.95,0,1598
2018121824,0.95,0,1598
2018121901,0.95,0,1598
2018121902,0.95,0,1598
2018121903,0.95,0,1598
2018121904,0.95,0,1598
2018121905,0.95,0,1598
2018121906,0.95,0,1598
2018121907,0.95,1,1599
2018121908,0.95,0,1599
2018121909,0.95,0,1599
2018121910,0.95,0,1599
2018121911,0.96,0,1599
2018121912,0.96,0,1599
2018121913,0.96,0,1599
2018121914,0.96,0,1599
2018121915,0.96,0,1599
2018121916,0.96,0,1599
2018121917,0.96,0,1599
2018121918,0.95,0,1599
2018121919,0.95,0,1599
2018121920,0.95,0,1599
2018121921,0.95,0,1599
2018121922,0.95,0,1599
2018121923,0.95,0,1599
2018121924,0.95,0,1599
2018122001,0.95,0,1599
2018122002,0.95,0,1599
2018122003,0.95,0,1599
2018122004,0.95,0,1599
2018122005,0.95,0,1599
2018122006,0.95,0,1599
2018122007,0.95,0,1599
2018122008,0.95,0,1599
2018122009,0.95,0,1599
2018122010,0.95,0,1599
2018122011,0.95,0,1599
2018122012,0.95,0,1599
2018122013,0.95,0,1599
2018122014,0.95,0,1599
2018122015,0.95,0,1599
2018122016,0.95,0,1599
2018122017,0.95,0,1599
2018122018,0.95,0,1599
2018122019,0.95,0,1599
2018122020,0.95,0,1599
2018122021,0.95,0,1599
2018122022,0.95,0,1599
2018122023,0.95,0,1599
2018122024,0.95,0,1599
2018122101,0.95,0,1599
2018122102,0.95,0,1599
2018122103,0.95,0,1599
2018122104,0.95,0,1599
2018122105,0.95,0,1599
2018122106,0.95,0,1599
2018122107,0.95,0,1599
2018122108,0.95,0,1599
2018122109,0.95,0,1599
2018122110,0.95,0,1599
2018122111,0.95,0,1599
2018122112,0.95,0,1599
2018122113,0.95,0,1599
2018122114,0.95,0,1599
2018122115,0.95,0,1599
2018122116,0.95,0,1599
2018122117,0.95,0,1599
2018122118,0.95,0,1599
2018122119,0.94,0,1599
2018122120,0.94,0,1599
2018122121,0.94,0,1599
2018122122,0.94,0,1599
2018122123,0.94,0,1599
2018122124,0.94,0,1599
2018122201,0.94,0,1599
